model,run_name,optimizer,lr,epochs,trainable_layers,dropout,val_accuracy,val_loss,test_accuracy,test_loss,test_precision,test_recall,test_f1,stopped_epoch
InceptionV3,InceptionV3-lr0.0001-ep60-optadam-layers20-drop0.5,adam,0.0001,60,20,0.5,0.7950920462608337,0.6062657833099365,0.8073619604110718,0.5419281721115112,0.7474980477428774,0.7704364810904235,0.7559604232496049,16
InceptionV3,InceptionV3-lr0.0001-ep60-optadam-layers20-drop0.3,adam,0.0001,60,20,0.3,0.7865030765533447,0.6114533543586731,0.808588981628418,0.5112956762313843,0.7432575496744016,0.7395664706365583,0.741130936437024,14
InceptionV3,InceptionV3-lr0.0001-ep60-optadam-layers30-drop0.3,adam,0.0001,60,30,0.3,0.7815951108932495,0.6337423920631409,0.7852760553359985,0.567276120185852,0.7299172563945167,0.6829714346923358,0.7042987404153904,12
InceptionV3,InceptionV3-lr0.0001-ep60-optadam-layers30-drop0.5,adam,0.0001,60,30,0.5,0.7791411280632019,0.6213133931159973,0.7742331027984619,0.6643229126930237,0.6941106958077591,0.7644536969474391,0.7225670902005862,12
InceptionV3,InceptionV3-lr0.0001-ep60-optsgd-layers30-drop0.5,sgd,0.0001,60,30,0.5,0.7717791199684143,0.60905522108078,0.7815951108932495,0.5547130703926086,0.7125795365877433,0.7153469064451542,0.7127927153398312,28
InceptionV3,InceptionV3-lr1e-05-ep60-optadam-layers20-drop0.5,adam,1e-05,60,20,0.5,0.7693251371383667,0.6233600378036499,0.7828220725059509,0.5746698975563049,0.7272495844086406,0.6990078089890355,0.7104952548244652,60
InceptionV3,InceptionV3-lr1e-05-ep60-optadam-layers30-drop0.5,adam,1e-05,60,30,0.5,0.7668711543083191,0.6669033169746399,0.7570552229881287,0.6698980331420898,0.6792313455973542,0.7023834692013666,0.6875404647998412,32
InceptionV3,InceptionV3-lr0.0001-ep60-optsgd-layers20-drop0.5,sgd,0.0001,60,20,0.5,0.7644171714782715,0.6021074056625366,0.7865030765533447,0.5561395883560181,0.7196120172876121,0.6934012391615646,0.7043040653004566,42
InceptionV3,InceptionV3-lr1e-05-ep60-optadam-layers20-drop0.3,adam,1e-05,60,20,0.3,0.7595092058181763,0.6555804014205933,0.7693251371383667,0.6049205660820007,0.6912732776320021,0.7036152011120722,0.6967921887496668,45
InceptionV3,InceptionV3-lr0.0001-ep60-optadam-layers10-drop0.3,adam,0.0001,60,10,0.3,0.7582821846008301,0.6298722624778748,0.7619631886482239,0.6180174946784973,0.6951519423558897,0.6683839435716783,0.6784381951960187,21
InceptionV3,InceptionV3-lr0.0001-ep60-optadam-layers10-drop0.5,adam,0.0001,60,10,0.5,0.7521472573280334,0.6143395900726318,0.7644171714782715,0.6198093295097351,0.6806347674092487,0.7076982892064244,0.691653104589091,33
InceptionV3,InceptionV3-lr0.0001-ep60-optsgd-layers20-drop0.3,sgd,0.0001,60,20,0.3,0.7521472573280334,0.6552886962890625,0.7644171714782715,0.5742089152336121,0.6987994350282485,0.6800663192246421,0.6874351390971263,28
InceptionV3,InceptionV3-lr1e-05-ep60-optadam-layers30-drop0.3,adam,1e-05,60,30,0.3,0.7521472573280334,0.6844385266304016,0.7668711543083191,0.6221011877059937,0.6927460784833854,0.6873368093643438,0.6885781115413917,25
